Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Kearnemalvastrum lacteum,(Aiton) D.M.Bates,133329-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Kleinhovia hospita,L.,824074-1,Environmental Uses; Fuels; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,
Kosteletzkya adoensis,(Hochst. ex A.Rich.) Mast.,561056-1,Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP); Useful Plants of West Tropical Africa (UPWTA)
Kosteletzkya grantii,(Mast.) Garcke,561077-1,Human Food; Materials; Medicines; Poisons; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Kosteletzkya pentacarpos,(L.) Ledeb.,561095-1,Fuels; Materials,False,Germplasm Resources Information Network from USDA (GRIN)
Kosteletzkya semota,O.J.Blanch.,60448394-2,Materials,False,Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Krapovickasia flavescens,(Cav.) Fryxell,133901-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Kydia calycina,Roxb.,561121-1,Animal Food; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Lagunaria patersonia,(Andrews) G.Don,561145-1,Environmental Uses; Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Lecanophora ameghinoi,(Speg.) Speg.,136838-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Leptonychia batangensis,(C.H.Wright) Burret,824143-1,Human Food; Social Uses,False,Useful Plants of West Tropical Africa (UPWTA)
Leptonychia caudata,(Wall. ex G.Don) Burret,824145-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Leptonychia multiflora,K.Schum.,824167-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Leptonychia occidentalis,Keay,824168-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Leptonychia urophylla,Welw. ex Mast.,824177-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Luehea candicans,Mart.,834726-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Luehea divaricata,Mart.,834731-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Luehea seemannii,Triana & Planch.,834758-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Malachra alceifolia,Jacq.,561421-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Malachra capitata,(L.) L.,561424-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Useful Plants of West Tropical Africa (UPWTA)
Malachra fasciata,Jacq.,561430-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Malachra radiata,(L.) L.,561446-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Malachra rudis,Benth.,561450-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Malope malacoides,L.,561493-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Malope trifida,Cav.,561500-1,Environmental Uses; Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN)
Malva alcea,L.,561521-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Malva arborea,(L.) Webb & Berthel.,561541-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Malva assurgentiflora,(Kellogg) M.F.Ray,1003822-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Malva cachemiriana,(Cambess.) Alef.,561587-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Malva cavanillesiana,Raizada,561588-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS)
Malva ludwigii,"(L.) Soldano, Banfi & Galasso",77116743-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Malva moschata,L.,561790-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Malva neglecta,Wallr.,561795-1,Human Food; Medicines; Poisons,False,European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Malva nicaeensis,All.,561798-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Malva olbia,(L.) Alef.,561809-1,Materials,False,
Malva parviflora,L.,561830-1,Animal Food; Environmental Uses; Human Food; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP)
Malva preissiana,Miq.,561850-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Malva pusilla,Sm.,561868-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Malva sylvestris,L.,561932-1,Environmental Uses; Human Food; Materials; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Malva trimestris,(L.) Salisb.,561957-1,Environmental Uses,False,
Malva verticillata,L.,561971-1,Animal Food; Environmental Uses; Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Malvastrum americanum,(L.) Torr.,561999-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Malvastrum corchorifolium,(Desr.) Britton ex Small,150271-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Malvastrum coromandelianum,(L.) Garcke,1063417-2,Animal Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Malvaviscus arboreus,Dill. ex Cav.,30041958-2,Environmental Uses; Human Food; Materials; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Malaria and Fever in Latin America dataset
Malvaviscus penduliflorus,Moc. & Sessé ex DC.,150478-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Malvella leprosa,(Ortega) Krapov.,150488-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Mansonia altissima,(A.Chev.) A.Chev.,824299-1,Animal Food; Environmental Uses; Human Food; Materials; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Mansonia gagei,J.R.Drumm.,824303-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Matisia cordata,Bonpl.,562392-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Matisia dowdingii,Sprague,154683-2,Materials,False,
Megistostegium nodulosum,(Drake) Hochr.,562402-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Melhania acuminata,Mast.,824313-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Melhania burchellii,DC.,824326-1,Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Melhania damarana,Harv.,824334-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Melhania forbesii,Planch. ex Mast.,824347-1,Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Melhania futteyporensis,Munro ex Mast.,824349-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melhania ovata,(Cav.) Spreng.,824379-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Melhania rehmannii,Szyszyl.,824391-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melhania velutina,Forssk.,824409-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melhania virescens,K.Schum.,824410-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia compacta,Hochr.,824440-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia corchorifolia,L.,824444-1,Animal Food; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Melochia degeneriana,A.C.Sm.,824456-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia hermannioides,A.St.-Hil.,824474-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia melissifolia,Benth.,824503-1,Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Melochia mollipila,A.C.Sm.,824505-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia nodiflora,Sw.,824514-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia odorata,L.f.,824518-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Melochia pilosa,(Mill.) Fawc. & Rendle,157002-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia pyramidata,L.,157004-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Melochia tomentosa,L.,157023-2,Animal Food; Environmental Uses; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Useful Plant Project (UPP)
Melochia umbellata,(Houtt.) Stapf,824564-1,Environmental Uses; Fuels; Human Food; Materials; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Melochia villosa,(Mill.) Fawc. & Rendle,157043-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Microcos africana,(Hook.f.) Burret,834785-1,Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Microcos argentata,Burret,834787-1,Fuels; Human Food; Materials; Poisons; Social Uses,False,Useful Plants of New Guinea
Microcos cerasifera,Chiov.,834797-1,Environmental Uses; Human Food,False,
Microcos conocarpa,Burret,834801-1,Human Food,False,
Microcos conocarpoides,(Burret) Burret,834802-1,Gene Sources; Human Food,False,
Microcos coriacea,Burret,834803-1,Fuels; Human Food; Materials,False,
Microcos fibrocarpa,(Mast.) Burret,834810-1,Human Food,False,Plant Resources of South-East Asia (PROSEA)
Microcos florida,(Miq.) Burret,834812-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Microcos globulifera,(Mast.) Burret,834814-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Microcos grandiflora,Burret,834817-1,Fuels; Human Food; Materials; Poisons; Social Uses,False,Useful Plants of New Guinea
Microcos heterotricha,(Mast.) Burret,834821-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Microcos hirsuta,(Korth.) Burret,834822-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Microcos lanceolata,(Miq.) Burret,834828-1,Fuels; Materials,False,Plant Resources of South-East Asia (PROSEA)
Microcos latifolia,Burret,834830-1,Human Food; Materials,False,Kew's Economic Botany Collection (EcBot); Plant Resources of South-East Asia (PROSEA)
Microcos laurifolia,(Hook.f. ex Mast.) Burret,834832-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Microcos ledermannii,Burret,834833-1,Fuels; Human Food; Materials; Poisons; Social Uses,False,Useful Plants of New Guinea
Microcos microthyrsa,(K.Schum. ex Burret) Burret,834838-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Microcos oligoneura,(Sprague) Burret,834840-1,Fuels,False,
Microcos paniculata,L.,834845-1,Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Microcos philippinensis,(G.Perkins) Burret,834851-1,Human Food,False,Plant Resources of South-East Asia (PROSEA)
Microcos pinnatifida,(Mast.) Burret,834852-1,Fuels; Materials,False,
Microcos seretii,(De Wild.) Burret,834860-1,Fuels,False,
Microcos tomentosa,Sm.,834868-1,Fuels; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Microcos triflora,(Blanco) R.C.K.Chung,70028714-1,Human Food; Materials,False,
Modiola caroliniana,(L.) G.Don,30017389-2,Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Modiolastrum malvifolium,(Griseb.) K.Schum.,162957-2,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Monteiroa glomerata,(Hook. & Arn.) Krapov.,164051-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Napaea dioica,L.,30262860-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Neesia altissima,(Blume) Blume,562463-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Neesia malayana,Bakh.,112476-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Neesia synandra,Mast.,562470-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Ochroma pyramidale,(Cav. ex Lam.) Urb.,171458-2,Environmental Uses; Invertebrate Food; Materials; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA); Malaria and Fever in Latin America dataset
Octolobus heteromerus,K.Schum.,824628-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Octolobus spectabilis,Welw.,824629-1,Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Pachira aquatica,Aubl.,179762-2,Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Pachira glabra,Pasq.,562664-1,Environmental Uses; Gene Sources; Human Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Pachira insignis,(Sw.) Savigny,562668-1,Gene Sources; Human Food; Materials,False,Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Pachira nervosa,(Uittien) Fern.Alonso,1005568-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Pachira sessilis,Benth.,281912-2,Human Food; Materials,False,Useful Plants of West Tropical Africa (UPWTA)
Papuodendron lepidotum,C.T.White,562711-1,Materials,False,
Pavonia argentina,Gürke,185818-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Pavonia burchellii,(DC.) R.A.Dyer,562784-1,Human Food; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Pavonia cancellata,(L.) Cav.,1206146-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Pavonia candida,(DC.) Fryxell,185837-2,Medicines,False,Medicinal Plant Names Services (MPNS)
