scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
tovomita divaricata,,,,,,,,,,,,,,,,,,,,,,,,,Guyana,South America
tovomita duckei,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Brazil,South America
tovomita fanshawei,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Guyana|Venezuela (Bolivarian Republic of),South America
tovomita foldatsii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,Brazil|Venezuela (Bolivarian Republic of),South America
tovomita fructipendula,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|French Guiana|Guyana|Peru|Venezuela (Bolivarian Republic of),South America
tovomita gazelii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,French Guiana|Guyana,South America
tovomita glazioviana,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
tovomita gracilipes,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,W,,,,,,,,,,Brazil|Peru|Venezuela (Bolivarian Republic of),South America
tovomita grata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,Materials,False,Brazil|French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
tovomita guianensis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
tovomita hopkinsii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tovomita iaspidis,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tovomita laurina,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,Brazil|Colombia|Peru,South America
tovomita leucantha,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
tovomita longifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,woody,,,,,,,,,,Brazil|Costa Rica|French Guiana|Guyana|Panama,South America|Central America
tovomita longirostrata,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tovomita macrophylla,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Brazil|Peru|Venezuela (Bolivarian Republic of),South America
tovomita mangle,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil|French Guiana,South America
tovomita megantha,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tovomita morii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Ecuador|Panama,South America|Central America
tovomita nidiae,,,,,,,,,,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
tovomita plumieri,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Dominica|Martinique|Saint Lucia,Caribbean
tovomita riedeliana,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tovomita rubella,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
tovomita salimenae,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tovomita schomburgkii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
tovomita secunda,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|French Guiana|Peru|Suriname,South America
tovomita speciosa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Ecuador|French Guiana|Guyana,South America
tovomita spruceana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Colombia|Guyana|Venezuela (Bolivarian Republic of),South America
tovomita stergiosii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Brazil|Colombia|Peru|Venezuela (Bolivarian Republic of),South America
tovomita stylosa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,woody,,,,,,,,Medicines,False,Colombia|Costa Rica|Panama,South America|Central America
tovomita tenuiflora,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil|Ecuador|Peru|Venezuela (Bolivarian Republic of),South America
tovomita trojitana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Ecuador,South America
tovomita turbinata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Colombia|Trinidad and Tobago|Venezuela (Bolivarian Republic of),South America|Caribbean
tovomita umbellata,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|French Guiana|Guyana|Peru|Suriname|Venezuela (Bolivarian Republic of),South America
tovomita vismiifolia,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tovomita volkeri,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil|Colombia|Peru|Venezuela (Bolivarian Republic of),South America
tovomitopsis paniculata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
tovomitopsis saldanhae,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
ctenolophon englerianus,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,Animal Food; Materials; Medicines,False,Angola|Cameroon|Congo|Democratic Republic of the Congo|Gabon|Nigeria,Middle Africa|Western Africa
ctenolophon parvifolius,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree/woody,,,,,,W,,,,,,,,Environmental Uses; Materials; Medicines,False,Indonesia|Malaysia|Papua New Guinea|Philippines|Singapore|Thailand,South-eastern Asia|Melanesia
dichapetalum asplundeanum,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,Tree,,,,,,,,,,,,,,,,Ecuador,South America
dichapetalum axillare,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,woody,,,,,,,,,,Colombia|Costa Rica|Nicaragua|Panama,South America|Central America
dichapetalum barbosae,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,shrub,,,,,,woody,,,,,,,,,,Mozambique|United Republic of Tanzania,Eastern Africa
dichapetalum barteri,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,W,,,,,,,,Poisons,False,Benin|Congo|Côte dIvoire|Democratic Republic of the Congo|Gabon|Ghana|Nigeria,Western Africa|Middle Africa
dichapetalum bocageanum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,Middle Africa
dichapetalum brenesii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Belize|Costa Rica|Panama,Central America
dichapetalum coronadoae,,,,,,,,,,,,,,,,,,,,,,,,,Nicaragua,Central America
dichapetalum donnell-smithii,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,liana,,,,,,woody,,,,,,,,,,Belize|Colombia|Costa Rica|El Salvador|Guatemala|Honduras|Mexico|Panama,Central America|South America
dichapetalum gelonioides,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,T,,,,,,,,,,,,,,Materials,False,China|India|Indonesia|Malaysia|Myanmar|Philippines|Sri Lanka|Thailand|Viet Nam,Eastern Asia|Southern Asia|South-eastern Asia
dichapetalum gentryi,,,,,,,,,Liana,,,,,,,,,,,,,,,,Panama,Central America
dichapetalum germainii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo,Middle Africa
dichapetalum glomeratum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Angola|Cameroon|Central African Republic|Congo|Democratic Republic of the Congo|Gabon,Middle Africa
dichapetalum griffithii,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,Medicines,False,Malaysia,South-eastern Asia
dichapetalum helferianum,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia|Myanmar|Thailand,South-eastern Asia
dichapetalum heudelotii,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Climber,,,,,,W,,,,,,,,,,Angola|Benin|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Gabon|Ghana|Guinea|Guinea-Bissau|Liberia|Nigeria|Rwanda|Sierra Leone|South Sudan|Uganda|Zambia,Middle Africa|Western Africa|Eastern Africa
dichapetalum insigne,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Angola|Cameroon|Congo|Democratic Republic of the Congo|Gabon,Middle Africa
dichapetalum laurocerasus,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
dichapetalum longipetalum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Climber,,,,,,,,,,,,,,,,Cambodia|China|Malaysia|Myanmar|Thailand|Viet Nam,South-eastern Asia|Eastern Asia
dichapetalum madagascariense,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,W,,,,,,,,Gene Sources; Human Food; Materials; Medicines; Poisons,False,Angola|Benin|Burundi|Cameroon|Central African Republic|Comoros|Congo|Côte dIvoire|Democratic Republic of the Congo|Equatorial Guinea|Gabon|Ghana|Guinea|Guinea-Bissau|Kenya|Liberia|Madagascar|Mayotte|Mozambique|Nigeria|Sierra Leone|South Sudan|Togo|Uganda|United Republic of Tanzania|Zimbabwe,Middle Africa|Western Africa|Eastern Africa
dichapetalum mexicanum,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,lianas,,,,,,,,,,,,,,,,Mexico,Central America
dichapetalum moralesii,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Costa Rica|Nicaragua,Central America
dichapetalum morenoi,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,lianas,,,,,,,,,,,,,,,,Costa Rica|Nicaragua,Central America
dichapetalum mossambicense,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,shrub,,,,,,woody,,,,,,,,Medicines,False,Kenya|Mozambique|United Republic of Tanzania,Eastern Africa
dichapetalum nevermannianum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,lianas/Tree,,,,,,,,,,,,,,,,Costa Rica|Panama,Central America
dichapetalum obanense,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria,Western Africa
dichapetalum odoratum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,lianas,,,,,,,,,,,,,,,,Brazil|Colombia|Costa Rica|Ecuador|Peru|Venezuela (Bolivarian Republic of),South America|Central America
dichapetalum pulchrum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Cameroon|Congo|Equatorial Guinea|Gabon,Middle Africa
dichapetalum sordidum,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia|Singapore,South-eastern Asia
dichapetalum spruceanum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Colombia|Ecuador|Peru,South America
dichapetalum stuhlmannii,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,shrub,,,,,,woody,,,,,,,,Medicines; Poisons,False,Democratic Republic of the Congo|Mozambique|Rwanda|United Republic of Tanzania,Middle Africa|Eastern Africa
dichapetalum tenerum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Papua New Guinea,South-eastern Asia|Melanesia
dichapetalum tenuifolium,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
dichapetalum timoriense,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,,,,,,,,,Human Food; Materials,False,Australia|Brunei Darussalam|India|Indonesia|Malaysia|Papua New Guinea|Philippines|Solomon Islands|Vanuatu,Australia and New Zealand|South-eastern Asia|Southern Asia|Melanesia
dichapetalum tricapsulare,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
dichapetalum ugandense,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Burundi|Democratic Republic of the Congo|Malawi|South Sudan|Uganda,Eastern Africa|Middle Africa
dichapetalum virchowii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
dichapetalum zenkeri,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,W,,,,,,,,,,Angola|Cameroon|Congo|Democratic Republic of the Congo|Equatorial Guinea|Gabon|Kenya|Nigeria|United Republic of Tanzania,Middle Africa|Eastern Africa|Western Africa
stephanopodium angulatum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,,,Ecuador,South America
stephanopodium aptotum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Colombia,South America
stephanopodium blanchetianum,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,Materials,False,Brazil,South America
stephanopodium costaricense,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,non-succulent,,,,,,woody,,,,,,,,,,Costa Rica|Nicaragua|Panama,Central America
stephanopodium cuspidatum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Colombia|Ecuador,South America
stephanopodium engleri,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil,South America
stephanopodium estrellense,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
stephanopodium gentryi,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Colombia|Costa Rica|Nicaragua|Panama,South America|Central America
stephanopodium gracile,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
stephanopodium longipedicellatum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Ecuador,South America
stephanopodium magnifolium,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Epiphyte/Tree,,,,,,,,,,,,,,,,Brazil,South America
stephanopodium organense,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
stephanopodium peruvianum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,woody,,,,,,,,Medicines,False,Colombia|Ecuador|Peru,South America
stephanopodium sessile,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
stephanopodium venezuelanum,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,W,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
tapura acreana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|Peru,South America
tapura africana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Cameroon|Congo|Equatorial Guinea|Gabon|Nigeria,Middle Africa|Western Africa
tapura amazonica,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,woody,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|French Guiana|Guyana|Peru|Suriname|Venezuela (Bolivarian Republic of),South America
tapura bouquetiana,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,W,,,,,,,,,,Congo|Gabon,Middle Africa
tapura bullata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Colombia,South America
tapura capitulifera,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,Materials,False,French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
tapura carinata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Congo|Gabon,Middle Africa
tapura colombiana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Colombia|Panama,South America|Central America
tapura coriacea,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,woody,,,,,,,,,,Brazil|Colombia|Ecuador|Peru,South America
tapura costata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Colombia,South America
tapura cubensis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,,,Cuba|Panama,Caribbean|Central America
tapura ferreyrae,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Peru,South America
tapura fischeri,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,tree,,,,,,woody,,,,,,,,Human Food; Materials,False,Benin|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Ethiopia|Ghana|Kenya|Mozambique|Nigeria|South Africa|South Sudan|Sudan|Uganda|United Republic of Tanzania,Western Africa|Middle Africa|Eastern Africa|Southern Africa|Northern Africa
tapura follii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tapura guianensis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,perennial,,woody,,,,,,,,,,Brazil|Colombia|Costa Rica|French Guiana|Guyana|Panama|Peru|Suriname|Venezuela (Bolivarian Republic of),South America|Central America
tapura haitiensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Haiti,Caribbean
tapura ivorensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Côte dIvoire|Ghana,Western Africa
tapura juliani,,,,,,,,,,,,,,,,,,,,,,,,,Peru,South America
tapura juruana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,woody,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|Peru,South America
tapura lanceolata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil,South America
tapura latifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Dominica|Guadeloupe|Martinique|Saint Lucia,Caribbean
tapura letestui,,,,,,,,,,,,,,,,,,,,,,,,,Congo|Gabon,Middle Africa
tapura magnifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Ecuador,South America
tapura mexicana,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
tapura neglecta,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Gabon,Middle Africa
tapura panamensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Panama,South America|Central America
tapura peruviana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,perennial,,woody,,,,,,,,Medicines,False,Colombia|Ecuador|Peru,South America
